*Time 	vhq	vq	Vc	vh1	vh2	v1	v2
0	-0.0955230262702491	-0.189758298251225	1.09708494526028E-5	-0.148551572138369	0.0307247846457317	-0.145302886002976	0.0408261930166959
0.003	-0.0955230262702491	-0.189758298251225	1.09708494526028E-5	-0.148551572138369	0.0307247846457317	-0.145302886002976	0.0408261930166959
0.0030029296875	-0.0955705132628019	-0.189403289117861	1.09243277986951E-5	-0.149871777398832	0.0249700155483533	-0.146952746787862	0.0322080525231999
0.003005859375	-0.0955876547421037	-0.188693515708709	1.09150305969939E-5	-0.152056827183682	0.0192550732510298	-0.149629987478342	0.0236711499440097
0.0030087890625	-0.0955645876769927	-0.187518911596091	1.09206444088086E-5	-0.155487462899258	0.0135794084259012	-0.153710341459688	0.0152343715118
0.00301171875	-0.0954981941976317	-0.185851097514834	1.09258168695288E-5	-0.16037442566009	0.00792686245225199	-0.159358123214137	0.00689452309087803
0.00301669474264659	-0.0952833441299348	-0.181889979384065	1.09366558404718E-5	-0.172455785082331	-0.0016988072099855	-0.172850603182485	-0.00709001774855431
0.00302634247209656	-0.0944894360411438	-0.17030144104963	1.09687668249214E-5	-0.211486512118787	-0.0210010896293031	-0.214634849393768	-0.0339089281628552
0.00303381320577526	-0.0935166832746085	-0.157875053546756	1.10105367985367E-5	-0.257623570623978	-0.0370358194295443	-0.262741461149957	-0.0547585033257777
0.00304459980998441	-0.0914951286960234	-0.134672781471053	1.10967881090853E-5	-0.353785975516169	-0.0632420240984531	-0.36126953030074	-0.0860043849770022
0.00305303725533388	-0.0893390359928829	-0.112092581225788	1.12047755781129E-5	-0.457522062615761	-0.0873142066657363	-0.466376848315814	-0.112209257461371
0.00305791037434752	-0.0878378517165369	-0.0972177783954792	1.12948480150005E-5	-0.53036024708825	-0.103013050098282	-0.539793838281205	-0.128342594749323
0.00306375813459549	-0.0857514580707683	-0.0774792740658992	1.14222637098461E-5	-0.632338667745933	-0.124065388858135	-0.64223829338239	-0.14905845502677
